,N,Moyenne,Médiane,Ecart-type,Min,P25,P75,Max
Z-score Altman,171.0,7.151,6.151,5.05,-1.04,2.873,11.013,19.92
X1 = Fonds roulement / Actif,171.0,-0.094,-0.089,0.342,-0.4,-0.4,0.001,0.8
X2 = Bénéfices non distribués / Actif,171.0,0.681,0.136,1.049,-2.0,0.0,2.0,2.0
X3 = EBIT / Actif,171.0,0.575,0.071,1.145,-2.0,0.0,2.0,2.0
X4 = Capitalisation / Dettes,171.0,3.78,0.358,4.564,0.0,0.014,10.0,10.0
X5 = Chiffre d'affaires / Actif,171.0,2.131,0.576,2.346,0.0,0.0,5.0,5.0
Levier financier,171.0,0.553,0.9,0.409,0.0,0.014,0.9,0.9
Ratio de liquidité,170.0,1.936,0.667,2.624,0.667,0.667,1.665,10.0
ROA,171.0,0.316,0.071,0.585,-1.0,0.0,1.0,1.0
Log(Total actif),171.0,14.741,9.522,10.324,1.609,5.997,25.961,32.185
